6.1°Blg,40 IBU,6685.000000,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,8.5%,Rolling Rock,Bitter Gold,Caramel,Kirin Inchiban,2042 - Danish Lager
6.8°Blg,Paulaner,Tahoma,100 IBU,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,6.8%,Carapils,Alpha King Pale Ale,1056 - American Ale,5925.000000
15.3°Blg,Kirin,4551.000000,Westmalle Trappist Tripel,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,2.9%,Sorachi Ace,19 IBU,Special roast,1318 - London Ale III
6685.000000,Kirin Inchiban,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,8.5%,6.1°Blg,Rolling Rock,Bitter Gold,40 IBU,Caramel
Paulaner,100 IBU,Alpha King Pale Ale,Belgian Strong Ale,6.8%,6.8°Blg,Tahoma,5925.000000,Carapils,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale
15.3°Blg,Kirin,Westmalle Trappist Tripel,Light Lager,1318 - London Ale III,2.9%,Sorachi Ace,19 IBU,4551.000000,Special roast,434e1596-f627-4f4f-926c-5993fea25d58
6.1°Blg,6685.000000,Kirin Inchiban,3c701fa7-00e4-4240-ae07-378d79f5b732,Caramel,Dark Lager,2042 - Danish Lager,8.5%,Rolling Rock,Bitter Gold,40 IBU
Alpha King Pale Ale,6.8°Blg,Tahoma,Carapils,5925.000000,Belgian Strong Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,6.8%,Paulaner,100 IBU
15.3°Blg,Kirin,Light Lager,434e1596-f627-4f4f-926c-5993fea25d58,1318 - London Ale III,2.9%,Sorachi Ace,19 IBU,4551.000000,Special roast,Westmalle Trappist Tripel
40 IBU,Caramel,Kirin Inchiban,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,8.5%,6.1°Blg,Rolling Rock,Bitter Gold,6685.000000
1056 - American Ale,6.8%,Paulaner,Tahoma,5925.000000,Carapils,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,6.8°Blg,100 IBU,Alpha King Pale Ale,Belgian Strong Ale
19 IBU,4551.000000,Westmalle Trappist Tripel,434e1596-f627-4f4f-926c-5993fea25d58,15.3°Blg,Kirin,Special roast,Light Lager,1318 - London Ale III,2.9%,Sorachi Ace
Bitter Gold,40 IBU,6685.000000,2042 - Danish Lager,8.5%,6.1°Blg,Rolling Rock,Caramel,Kirin Inchiban,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732
6.8%,Tahoma,5925.000000,Belgian Strong Ale,1056 - American Ale,6.8°Blg,Paulaner,100 IBU,Carapils,Alpha King Pale Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf
19 IBU,4551.000000,434e1596-f627-4f4f-926c-5993fea25d58,2.9%,15.3°Blg,Kirin,Sorachi Ace,Special roast,Westmalle Trappist Tripel,Light Lager,1318 - London Ale III
Kirin Inchiban,Dark Lager,3c701fa7-00e4-4240-ae07-378d79f5b732,2042 - Danish Lager,8.5%,Rolling Rock,40 IBU,Caramel,6.1°Blg,Bitter Gold,6685.000000
Tahoma,5925.000000,Belgian Strong Ale,Carapils,Alpha King Pale Ale,d5cc21fd-fee2-4b2d-9a91-8128399a3fcf,1056 - American Ale,6.8%,6.8°Blg,Paulaner,100 IBU
